"api_uri","at_large","contact_form","cook_pvi","crp_id","cspan_id","date_of_birth","district","dw_nominate","facebook_account","fax","fec_candidate_id","first_name","gender","geoid","google_entity_id","govtrack_id","icpsr_id","id","ideal_point","in_office","last_name","last_updated","leadership_role","middle_name","missed_votes","missed_votes_pct","next_election","ocd_id","office","party","phone","rss_url","seniority","short_title","state","suffix","title","total_present","total_votes","twitter_account","url","votes_against_party_pct","votes_with_party_pct","votesmart_id","youtube_account"
"https://api.propublica.org/congress/v1/members/A000370.json",false,,,"N00035451","76386","1946-05-27","12",-0.466,"CongresswomanAdams",,"H4NC12100","Alma","F","3712","/m/02b45d","412607","21545","A000370",,true,"Adams","2022-03-01 13:30:25 -0500",,,3,0.6,"2022","ocd-division/country:us/state:nc/cd:12","2436 Rayburn House Office Building","D","202-225-1510","https://adams.house.gov/rss.xml","10","Rep.","NC",,"Representative",0,496,"RepAdams","https://adams.house.gov",0.81,98.98,"5935",
"https://api.propublica.org/congress/v1/members/A000055.json",false,,,"N00003028","45516","1965-07-22","4",0.376,"RobertAderholt",,"H6AL04098","Robert","M","0104","/m/024p03","400004","29701","A000055",,true,"Aderholt","2022-03-01 13:30:22 -0500",,"B.",8,1.61,"2022","ocd-division/country:us/state:al/cd:4","266 Cannon House Office Building","R","202-225-4876","https://aderholt.house.gov/rss.xml","26","Rep.","AL",,"Representative",0,496,"Robert_Aderholt","https://aderholt.house.gov",2.9,96.89,"441","RobertAderholt"
"https://api.propublica.org/congress/v1/members/A000371.json",false,,,"N00033997","79994","1979-06-19","31",-0.295,"reppeteaguilar",,"H2CA31125","Pete","M","0631","/m/0jwv0xf","412615","21506","A000371",,true,"Aguilar","2022-03-01 13:30:25 -0500","House Democratic Caucus Vice Chair",,1,0.2,"2022","ocd-division/country:us/state:ca/cd:31","109 Cannon House Office Building","D","202-225-3201",,"8","Rep.","CA",,"Representative",0,496,"reppeteaguilar","https://aguilar.house.gov",1.01,98.78,"70114",
"https://api.propublica.org/congress/v1/members/A000372.json",false,,,"N00033720","62545","1951-11-07","12",0.694,"CongressmanRickAllen",,"H2GA12121","Rick","M","1312","/m/0127y9dk","412625","21516","A000372",,true,"Allen","2022-03-01 13:30:22 -0500",,,9,1.81,"2022","ocd-division/country:us/state:ga/cd:12","570 Cannon House Office Building","R","202-225-2823",,"8","Rep.","GA",,"Representative",0,496,"reprickallen","https://allen.house.gov",6.02,93.78,"136062",
"https://api.propublica.org/congress/v1/members/A000376.json",false,,,"N00040989",,"1983-04-15","32",,,,"H8TX32098","Colin","M","4832","/m/03d066b","412828",,"A000376",,true,"Allred","2022-03-01 13:30:23 -0500",,,0,0,"2022","ocd-division/country:us/state:tx/cd:32","114 Cannon House Office Building","D","202-225-2231",,"4","Rep.","TX",,"Representative",0,496,"RepColinAllred","https://allred.house.gov",2.02,97.77,"177357",
"https://api.propublica.org/congress/v1/members/A000369.json",false,,,"N00031177","62817","1958-06-12","2",0.378,"MarkAmodeiNV2",,"H2NV02395","Mark","M","3202","/m/03bzdkn","412500","21196","A000369",,true,"Amodei","2022-03-01 13:30:22 -0500",,,7,1.41,"2022","ocd-division/country:us/state:nv/cd:2","104 Cannon House Office Building","R","202-225-6155",,"12","Rep.","NV",,"Representative",0,496,"MarkAmodeiNV2","https://amodei.house.gov",4.55,95.25,"12537","markamodeinv2"
"https://api.propublica.org/congress/v1/members/A000377.json",true,,,"N00042868",,"1976-10-08","At-Large",,,,"H8ND00096","Kelly","M","3800","/g/11hcszksh3","412794",,"A000377",,true,"Armstrong","2022-03-01 13:30:22 -0500",,,29,5.85,"2022","ocd-division/country:us/state:nd/cd:1","1740 Longworth House Office Building","R","202-225-2611",,"4","Rep.","ND",,"Representative",1,496,"RepArmstrongND","https://armstrong.house.gov",4.12,95.66,"139338",
"https://api.propublica.org/congress/v1/members/A000375.json",false,,,"N00038285","1016482","1972-03-09","19",0.649,"JodeyArrington",,"H6TX19099","Jodey","M","4819","/m/0g9_f_1","412726","21700","A000375",,true,"Arrington","2022-03-01 13:30:21 -0500",,,27,5.44,"2022","ocd-division/country:us/state:tx/cd:19","1107 Longworth House Office Building","R","202-225-4005",,"6","Rep.","TX",,"Representative",0,496,"RepArrington","https://arrington.house.gov",9.72,90.06,"155685",
"https://api.propublica.org/congress/v1/members/A000148.json",false,,,,,"1988-01-29","4",,,,"H0MA04192","Jake","M","2504","/g/11f0xw2_p4","456825",,"A000148",,true,"Auchincloss","2022-03-01 13:30:24 -0500",,,3,0.6,"2022","ocd-division/country:us/state:ma/cd:4","1524 Longworth House Office Building","D","202-225-5931",,"2","Rep.","MA",,"Representative",0,496,"RepAuchincloss","https://auchincloss.house.gov/",1.02,98.78,,
"https://api.propublica.org/congress/v1/members/A000378.json",false,,,"N00041104",,"1965-04-20","3",,,,"H8IA03124","Cynthia","F","1903","/g/11fgktcgcb","412772",,"A000378",,true,"Axne","2022-03-01 13:30:23 -0500",,,1,0.2,"2022","ocd-division/country:us/state:ia/cd:3","1034 Longworth House Office Building","D","202-225-5476",,"4","Rep.","IA",,"Representative",0,496,"RepCindyAxne","https://axne.house.gov",3.25,96.55,"179226",
